unix,low,high,open,close,volume,date,vol_fiat
1628294400,42457.27,44750.0,42869.59,44637.34,19634.79475606,2021-08-07,876445009.3564672
1628208000,39876.74,43399.26,40888.73,42869.58,20425.1145444,2021-08-06,875616081.9703194
1628121600,37300.0,41447.89,39718.9,40888.74,28507.85532682,2021-08-05,1165650284.415958
1628035200,37509.0,39965.1,38189.4,39722.41,15327.67624669,2021-08-04,608852240.2182814
1627948800,37627.21,39785.3,39149.59,38191.44,15094.81739624,2021-08-03,576492812.8994563
1627862400,38690.0,40459.68,39859.18,39149.59,12379.41216528,2021-08-02,484648910.7117242
1627776000,39426.0,42605.64,41499.0,39865.41,10617.67293456,2021-08-01,423277884.7821376
1627689600,41064.11,42414.61,42233.66,41495.01,9351.94288576,2021-07-31,388058963.56404006
1627603200,38342.0,42320.57,40039.44,42237.95,15063.2344059,2021-07-30,636240141.6746839
1627516800,39229.47,40644.85,40035.1,40039.44,11022.42512817,2021-07-29,441331729.57385504
1627430400,38803.34,40925.56,39475.99,40035.1,27198.33358111,2021-07-28,1088888004.753097
1627344000,36413.26,39550.0,37262.76,39470.48,24709.10440908,2021-07-27,975280211.396504
1627257600,35251.54,40593.93,35428.25,37262.77,40354.54555841,2021-07-26,1503722149.5975533
1627171200,33888.89,35451.04,34291.67,35428.26,9434.63002297,2021-07-25,334252525.4575871
1627084800,33424.7,34525.0,33647.27,34283.01,9864.75243703,2021-07-24,338193406.44622386
1626998400,32000.0,33647.27,32287.75,33647.26,9004.84262627,2021-07-23,302988281.1051895
1626912000,31729.68,32611.84,32152.68,32287.74,7704.6404628,2021-07-22,248765428.0563661
1626825600,29501.02,32825.0,29796.15,32135.19,15598.47830878,2021-07-21,501260064.163524
1626739200,29301.56,31052.65,30842.04,29796.16,18114.15286104,2021-07-20,539732196.9120055
1626652800,30429.99,31887.82,31786.37,30842.03,11027.00528966,2021-07-19,340095227.95385236
1626566400,31125.6,32450.0,31533.9,31788.25,5006.4831051,2021-07-18,159147336.56569508
1626480000,31179.01,31949.99,31389.57,31533.91,5695.57411588,2021-07-17,179603721.5684895
1626393600,31025.42,32259.16,31872.49,31388.06,10006.47793721,2021-07-16,314083929.8818237
1626307200,31064.77,33187.6,32815.75,31868.68,11273.61174025,2021-07-15,359275124.9942704
1626220800,31600.0,33125.55,32734.14,32816.39,10355.3186961,2021-07-14,339824176.90550905
1626134400,32201.12,33337.61,33077.43,32734.14,9478.04218884,2021-07-13,310255559.935395
1626048000,32665.0,34670.0,34259.22,33091.1,10145.24046995,2021-07-12,335717166.91516244
1625961600,33333.33,34607.37,33515.35,34259.23,7023.06500489,2021-07-11,240604799.30747765
1625875200,33027.83,34267.14,33824.25,33515.35,4906.24582215,2021-07-10,164434545.915395
1625788800,32255.24,34100.0,32875.95,33824.26,8320.90649257,2021-07-09,281448504.6403758
1625702400,32111.0,33934.62,33879.5,32875.95,14147.3525248,2021-07-08,465107654.23769855
1625616000,33770.01,35077.46,34225.72,33878.56,9404.8979867,2021-07-07,318624400.7362951
1625529600,33300.0,35100.0,33697.78,34225.73,10313.01368118,2021-07-06,352970421.7383728
1625443200,33156.86,35290.82,35284.06,33697.78,9607.60619891,2021-07-05,323755000.0175054
1625356800,34390.53,35951.0,34685.03,35284.05,6224.03057033,2021-07-04,219609005.84505224
